id,consent,priority,physics_ict,russian,math,individual,total
110,0,2,100,99,99,10,308
103,0,2,100,100,97,8,305
146,0,2,100,100,87,7,294
152,0,1,99,88,93,6,286
170,0,2,90,94,88,10,282
80,0,2,81,93,96,10,280
20,0,2,91,96,83,6,276
61,0,1,75,90,93,10,268
168,0,1,87,90,82,9,268
111,0,1,79,88,90,9,266
25,0,2,90,91,78,6,265
99,0,1,88,86,78,10,262
39,0,2,87,84,83,7,261
138,0,2,83,83,87,8,261
124,0,2,90,84,80,6,260
73,0,1,88,78,84,9,259
174,0,1,87,80,84,7,258
28,0,2,82,86,83,7,258
92,0,2,92,77,80,8,257
136,0,3,83,91,78,2,254
74,0,4,67,85,97,5,254
112,0,2,76,80,76,8,240
38,0,2,80,72,80,7,239
169,0,2,80,81,71,5,237
78,0,2,74,80,74,6,234
24,0,1,80,70,76,7,233
40,0,2,72,80,73,8,233
31,0,1,76,78,70,7,231
51,0,4,76,69,78,5,228
54,0,2,74,78,69,6,227
178,0,1,69,78,74,4,225
55,0,1,75,76,65,6,222
2,0,2,68,66,81,6,221
153,0,2,73,74,68,5,220
66,0,1,66,71,79,3,219
53,0,3,75,68,70,5,218
37,0,2,72,76,63,5,216
162,0,2,73,68,72,2,215
52,0,2,58,70,79,7,214
23,0,2,61,66,81,5,213
49,0,2,67,64,75,6,212
8,0,2,69,68,64,7,208
135,0,1,61,66,74,6,207
122,0,3,64,71,66,5,206
155,0,1,75,69,56,1,201
100,0,2,60,72,64,5,201
139,0,4,67,60,70,4,201
163,0,2,68,62,67,3,200
44,0,3,71,58,66,4,199
46,0,2,71,61,65,1,198
154,0,2,72,61,59,4,196
17,0,2,65,64,56,9,194
119,0,1,64,62,62,2,190
68,0,2,68,59,61,2,190
58,0,2,65,67,56,0,188
132,0,2,61,58,62,6,187
89,0,2,64,65,50,6,185
179,0,3,56,58,69,0,183
47,0,1,64,51,64,3,182
4,1,2,54,64,53,6,177
7,1,1,60,53,60,3,176
14,1,1,60,60,52,3,175
65,1,3,50,68,52,5,175
56,1,1,64,53,55,0,172
134,1,1,63,50,53,4,170
79,1,2,59,61,43,0,163
165,1,1,48,59,44,2,153
149,1,2,55,43,49,6,153
140,1,1,49,45,53,1,148
175,1,1,47,36,49,1,133
