id,consent,priority,physics_ict,russian,math,individual,total
180,0,1,95,100,92,8,295
69,0,2,95,93,93,9,290
84,0,2,91,77,93,8,269
10,0,2,81,89,87,10,267
160,0,2,88,85,87,7,267
88,0,2,84,86,89,7,266
25,0,1,90,91,78,6,265
41,0,1,88,89,79,7,263
95,0,2,87,83,86,7,263
120,0,2,85,87,81,10,263
28,0,1,82,86,83,7,258
92,0,1,92,77,80,8,257
16,0,1,81,79,86,9,255
74,0,3,67,85,97,5,254
76,0,2,84,78,80,6,248
118,0,2,80,83,80,5,248
72,0,2,85,75,81,6,247
129,0,2,73,85,84,4,246
173,0,2,79,75,83,8,245
26,0,2,87,78,70,6,241
38,0,1,80,72,80,7,239
113,0,2,76,74,79,8,237
172,0,2,75,77,77,6,235
125,0,1,72,83,68,8,231
51,0,3,76,69,78,5,228
104,0,3,82,70,71,5,228
115,0,1,73,74,73,4,224
53,0,2,75,68,70,5,218
143,0,2,75,69,71,2,217
131,0,2,62,75,74,4,215
121,0,2,69,68,72,4,213
101,0,2,70,70,66,3,209
8,0,1,69,68,64,7,208
164,0,2,65,70,70,3,208
122,0,2,64,71,66,5,206
48,0,3,61,67,74,3,205
63,0,1,65,74,64,0,203
139,0,3,67,60,70,4,201
163,1,1,68,62,67,3,200
46,1,1,71,61,65,1,198
154,1,1,72,61,59,4,196
60,1,2,62,65,60,6,193
68,1,1,68,59,61,2,190
132,1,1,61,58,62,6,187
81,1,1,62,67,53,2,184
157,1,2,68,63,48,4,183
179,1,2,56,58,69,0,183
65,1,2,50,68,52,5,175
33,1,1,51,59,49,5,164
12,1,1,49,42,58,6,155
