id,consent,priority,physics_ict,russian,math,individual,total
178,0,1,100,100,100,9,309
85,0,1,95,98,99,10,302
78,0,1,100,97,95,6,298
160,0,1,90,100,90,10,290
67,0,1,90,92,96,10,288
98,0,1,89,96,91,10,286
124,0,1,82,97,97,10,286
81,0,1,90,89,85,10,274
172,0,1,88,90,85,10,273
139,0,1,88,86,86,9,269
14,0,1,89,87,85,6,267
35,0,1,80,88,95,4,267
52,0,1,85,81,89,10,265
169,0,1,86,84,78,10,258
147,0,1,84,81,85,7,257
71,1,1,85,68,91,9,253
79,0,1,80,84,80,7,251
21,0,1,81,87,73,7,248
17,0,1,76,80,83,7,246
30,0,1,81,81,77,7,246
25,0,1,78,81,80,6,245
33,0,1,84,77,74,8,243
36,0,1,76,85,73,8,242
61,1,1,85,81,69,7,242
151,0,1,77,76,80,5,238
31,0,1,71,80,73,10,234
13,0,1,79,71,80,2,232
138,0,1,75,72,78,3,228
120,0,1,76,70,74,6,226
26,0,1,76,71,74,4,225
56,0,1,78,75,67,4,224
166,0,1,63,76,76,6,221
171,1,1,70,77,66,5,218
37,0,1,76,63,72,4,215
59,0,1,67,70,76,2,215
113,0,1,73,67,69,6,215
145,0,1,66,68,76,4,214
174,0,1,65,63,75,3,206
156,0,1,64,69,68,2,203
84,0,1,71,61,65,5,202
125,0,1,65,65,68,3,201
66,0,1,69,62,62,6,199
47,0,1,60,63,67,5,195
24,0,1,64,55,70,2,191
144,0,1,60,60,64,1,185
162,0,1,57,62,62,3,184
159,0,1,59,72,50,2,183
62,0,1,55,60,64,3,182
123,0,1,56,57,54,9,176
2,0,1,68,46,57,4,175
9,0,1,59,50,65,1,175
173,0,1,55,55,57,7,174
94,0,1,47,61,55,0,163
106,0,1,58,44,55,4,161
93,0,1,52,52,51,2,157
180,0,1,52,48,52,2,154
88,0,1,40,56,51,0,147
109,0,1,38,45,56,2,141
122,0,1,48,43,43,5,139
134,0,1,44,45,33,3,125
