id;consent;priority;physics_ict;russian;math;individual;total
211;1;3;72;58;78;7;215
212;1;4;86;100;100;7;293
213;1;2;84;80;87;2;253
214;1;4;84;88;75;9;256
215;1;3;79;87;77;9;252
216;1;4;74;72;59;4;209
217;1;3;57;71;74;0;202
218;1;4;63;81;67;3;214
219;0;1;74;65;69;4;212
220;0;3;90;100;94;3;287
221;0;1;90;89;79;5;263
222;0;4;75;74;54;7;210
223;0;1;75;78;81;5;239
224;0;2;91;95;100;10;296
225;0;1;93;89;86;0;268
226;0;1;91;100;100;10;301
227;0;2;88;96;100;4;288
228;0;3;79;74;81;4;238
229;0;2;79;86;67;10;242
230;0;2;76;62;70;10;218
231;0;1;96;92;92;5;285
232;0;4;54;63;77;10;204
233;0;2;71;75;92;3;241
234;0;3;99;100;100;10;309
235;0;4;100;93;100;10;303
236;0;2;100;100;100;10;310
237;0;1;83;84;68;5;240
238;0;4;70;69;56;7;202
239;0;3;89;79;79;6;253
240;0;1;69;94;75;6;244
241;0;1;74;89;86;7;256
242;0;4;78;71;92;4;245
243;0;2;98;100;100;10;308
244;0;4;73;81;73;9;236
245;0;4;90;96;99;10;295
246;0;2;91;80;98;6;275
247;0;4;98;100;100;10;308
248;0;1;71;69;86;0;226
249;0;3;100;100;100;6;306
250;0;2;78;93;77;2;250
251;0;3;83;88;84;8;263
252;0;4;100;100;88;8;296
253;0;3;100;98;86;1;285
254;0;1;100;93;92;8;293
255;0;1;100;92;100;10;302
256;0;3;90;89;97;9;285
257;0;3;81;93;90;4;268
258;0;1;100;89;84;3;276
259;0;1;83;69;67;5;224
260;0;4;88;95;97;5;285
261;0;4;85;95;100;7;287
262;0;4;69;93;74;4;240
263;0;1;95;98;100;10;303
264;0;2;89;78;88;9;264
265;0;1;60;70;77;10;217
266;0;4;75;83;88;7;253
267;0;3;98;92;98;0;288
268;0;2;87;79;92;7;265
269;0;2;81;73;64;0;218
270;0;4;94;83;95;1;273
271;0;1;88;71;76;8;243
272;0;1;100;96;100;10;306
273;0;4;59;64;82;9;214
274;0;1;99;100;100;10;309
275;0;2;61;69;83;8;221
276;0;2;94;94;100;10;298
277;0;4;86;85;83;7;261
278;0;2;95;87;100;10;292
279;0;2;77;76;97;4;254
280;0;4;100;89;96;7;292
