ID;Согласие;Приоритет;Физика_ИКТ;Русский;Математика;ИД;Сумма
149;1;1;88;99;71;8;266
82;1;1;81;96;75;8;260
153;1;1;94;66;90;10;260
80;1;1;86;78;87;8;259
77;1;1;94;66;96;0;256
2;1;3;97;67;89;1;254
32;1;2;98;54;93;8;253
150;1;1;88;54;96;10;248
152;1;1;60;100;78;10;248
54;1;2;88;81;67;8;244
156;1;1;84;73;85;2;244
31;1;2;56;85;93;9;243
58;1;2;84;58;99;2;243
85;1;1;47;97;98;1;243
30;1;2;48;90;97;7;242
151;1;1;90;73;71;5;239
53;1;2;100;65;66;7;238
61;1;2;98;67;65;8;238
9;1;2;93;80;63;0;236
33;1;2;40;97;90;9;236
59;1;2;81;92;60;3;236
36;1;2;91;88;52;2;233
5;1;3;72;67;83;8;230
35;1;2;94;66;60;5;225
83;1;1;86;41;88;10;225
4;0;3;91;70;53;9;223
78;0;1;84;93;40;5;222
11;0;2;64;88;69;0;221
10;0;2;80;58;71;10;219
1;0;3;64;74;75;5;218
8;0;2;65;96;44;7;212
29;0;2;61;75;74;2;212
50;0;2;93;52;59;7;211
60;0;2;90;49;69;3;211
52;0;2;57;91;52;8;208
56;0;2;44;65;99;0;208
154;0;1;57;61;83;7;208
55;0;2;52;99;53;3;207
157;0;1;63;99;42;2;206
28;0;2;52;57;76;3;188
3;0;3;82;49;48;0;179
34;0;2;47;84;43;5;179
51;0;2;58;73;45;1;177
86;0;1;63;48;56;6;173
27;0;2;45;52;72;3;172
79;0;1;58;45;64;2;169
84;0;1;63;51;46;2;162
57;0;2;75;41;42;3;161
81;0;1;44;52;53;5;154
155;0;1;51;55;46;0;152
