id,consent,priority,physics_ict,russian,math,individual,total
211,0,3,100,100,99,10,309
207,1,1,100,100,100,6,306
260,1,1,95,100,100,10,305
370,1,1,99,96,100,8,303
459,0,3,98,94,100,10,302
470,1,1,100,94,100,7,301
237,0,2,92,100,100,6,298
144,0,2,100,95,91,10,296
103,1,1,99,89,99,8,295
340,0,2,92,95,98,10,295
473,0,3,100,95,90,10,295
224,0,2,90,98,96,10,294
222,0,2,100,99,85,9,293
455,0,2,95,99,92,7,293
509,0,2,93,93,100,7,293
584,0,3,90,100,97,6,293
255,1,1,97,100,85,10,292
427,0,2,100,90,93,9,292
477,0,2,98,89,97,8,292
252,1,1,100,83,98,10,291
512,1,1,98,87,98,8,291
516,1,1,91,91,99,9,290
29,0,2,92,91,97,10,290
622,1,1,88,98,95,8,289
457,0,2,95,86,100,8,289
180,0,3,92,92,96,8,288
300,0,2,100,93,88,6,287
415,1,1,85,92,100,9,286
304,1,1,93,90,93,9,285
464,0,2,94,88,95,7,284
286,0,3,91,89,98,6,284
390,1,1,96,83,93,10,282
355,0,2,90,95,88,9,282
22,0,3,91,100,81,10,282
258,0,2,91,92,88,10,281
517,0,2,92,95,87,7,281
539,1,1,96,89,86,9,280
548,1,1,98,84,90,8,280
624,0,2,97,96,82,5,280
72,1,1,91,94,90,4,279
219,1,1,88,93,90,8,279
264,1,1,81,96,92,10,279
564,1,1,95,88,95,1,279
152,0,2,95,91,87,5,278
395,0,2,86,93,89,10,278
593,0,2,86,83,100,9,278
69,0,2,92,82,94,9,277
19,0,2,85,89,92,10,276
99,0,2,89,96,85,5,275
124,0,2,85,93,87,9,274
344,0,2,100,89,83,2,274
269,0,4,88,87,89,10,274
137,1,1,90,75,100,8,273
146,1,1,99,88,78,8,273
567,1,1,85,91,88,8,272
577,0,2,89,94,84,4,271
440,0,3,86,87,92,6,271
553,0,3,88,88,85,10,271
13,0,4,86,88,90,7,271
80,1,1,89,89,85,6,269
267,1,1,83,89,87,10,269
311,1,1,86,88,86,9,269
349,1,1,89,81,90,9,269
371,1,1,99,85,79,6,269
372,1,1,90,84,85,10,269
525,1,1,89,82,89,9,269
285,1,1,85,87,90,5,267
363,1,1,93,83,84,7,267
416,1,1,90,84,85,8,267
67,1,1,85,75,97,9,266
120,1,1,86,85,88,7,266
208,1,1,87,86,85,8,266
351,1,1,87,94,80,5,266
42,1,1,91,87,78,9,265
272,1,1,81,81,93,10,265
287,1,1,90,82,87,6,265
450,1,1,85,79,94,7,265
598,1,1,88,87,86,4,265
387,1,1,82,87,89,6,264
35,1,1,81,90,83,9,263
368,1,1,81,83,90,9,263
210,1,1,90,97,68,7,262
341,1,1,78,94,81,9,262
357,1,1,74,91,91,6,262
400,1,1,88,81,86,7,262
41,1,1,83,79,92,7,261
274,1,1,87,89,81,4,261
277,1,1,83,97,71,10,261
552,1,1,89,85,81,6,261
70,1,1,89,85,79,7,260
240,0,2,84,84,86,6,260
484,1,1,75,83,94,7,259
563,0,2,98,78,77,6,259
55,1,1,90,77,84,7,258
84,1,1,86,77,87,8,258
510,1,1,82,82,87,7,258
561,1,1,82,82,86,8,258
329,1,1,82,83,84,8,257
159,0,2,82,88,78,8,256
394,0,2,85,81,84,6,256
167,0,1,82,85,84,4,255
218,0,2,85,86,78,6,255
594,0,1,75,78,92,9,254
74,0,2,81,80,84,9,254
519,0,2,87,82,75,9,253
281,0,1,84,82,79,7,252
409,0,1,79,79,89,5,252
507,0,1,76,87,82,7,252
518,0,2,74,86,82,10,252
425,0,1,86,83,77,5,251
319,0,1,84,87,74,5,250
259,0,2,82,81,79,8,250
330,0,2,75,82,86,7,250
491,0,2,81,80,80,9,250
107,0,1,89,88,70,2,249
114,0,1,81,71,92,5,249
59,0,2,79,80,83,7,249
221,0,2,79,81,80,9,249
247,0,1,73,84,84,7,248
379,0,3,80,83,82,3,248
305,0,2,84,79,78,6,247
500,0,2,83,78,81,5,247
315,0,2,73,78,86,9,246
381,0,2,79,81,81,5,246
497,0,2,80,75,82,9,246
216,0,1,89,74,78,4,245
513,0,1,89,78,74,4,245
523,0,2,79,85,77,4,245
177,0,3,77,81,81,6,245
199,0,1,88,79,75,2,244
322,0,2,68,83,86,7,244
417,0,2,83,73,82,6,244
599,0,1,78,81,77,7,243
339,0,2,79,82,76,6,243
403,0,2,71,83,82,7,243
187,0,3,81,81,77,4,243
234,0,3,72,87,79,5,243
303,0,3,79,84,74,6,243
398,0,1,73,82,80,7,242
309,0,2,76,86,76,4,242
95,0,3,84,76,77,5,242
43,0,1,81,77,75,8,241
383,0,1,76,85,76,4,241
502,0,1,73,81,82,5,241
73,0,2,80,74,84,3,241
173,0,2,82,82,72,5,241
405,0,2,72,86,80,3,241
96,0,2,71,83,81,5,240
78,0,2,79,79,75,6,239
607,0,2,78,70,82,9,239
481,0,2,82,81,71,4,238
321,0,3,75,72,82,9,238
480,0,3,81,74,78,5,238
197,0,2,83,64,83,7,237
608,0,2,70,81,81,5,237
566,0,3,88,67,75,7,237
579,0,1,79,74,76,7,236
32,0,2,80,77,75,4,236
186,0,2,75,68,84,9,236
428,0,2,77,79,72,8,236
605,0,2,72,81,77,6,236
169,0,2,75,72,84,4,235
388,0,2,71,76,81,7,235
87,0,2,76,63,90,5,234
236,0,2,77,83,67,7,234
524,0,2,82,67,78,7,234
115,0,3,80,75,74,5,234
271,0,3,73,79,72,9,233
182,0,1,70,73,79,10,232
213,0,1,79,73,77,3,232
278,0,1,71,81,76,4,232
71,0,2,69,80,80,3,232
468,0,2,73,71,83,5,232
493,0,1,66,77,83,5,231
411,0,2,80,66,77,8,231
364,0,3,77,68,81,5,231
49,0,1,79,67,77,7,230
11,0,2,70,78,78,4,230
449,0,2,75,70,82,3,230
118,0,1,73,79,72,5,229
25,0,2,84,64,73,8,229
54,0,2,86,63,72,8,229
348,0,2,86,71,64,8,229
586,0,2,82,67,75,5,229
414,0,1,80,72,70,6,228
537,0,1,71,81,71,4,227
466,0,2,65,78,78,6,227
172,0,1,69,77,73,7,226
102,0,2,66,73,80,7,226
125,0,1,73,69,76,7,225
360,0,1,77,72,71,5,225
582,0,1,67,76,73,9,225
556,0,2,75,78,71,1,225
461,0,1,78,73,66,7,224
135,0,1,61,74,82,6,223
112,0,2,67,75,76,5,223
318,0,2,67,75,73,8,223
24,0,2,82,68,69,3,222
296,0,2,64,71,82,5,222
232,0,1,66,80,69,6,221
21,0,2,75,72,69,5,221
334,0,2,68,76,74,3,221
295,0,3,76,67,73,5,221
109,0,2,82,59,74,5,220
573,0,3,67,75,71,7,220
202,0,1,64,67,84,4,219
469,0,1,74,64,75,6,219
52,0,3,73,67,73,5,218
86,0,2,74,70,69,4,217
475,0,2,76,69,67,5,217
6,0,3,75,63,69,10,217
85,0,3,69,77,68,3,217
325,0,2,66,68,73,9,216
445,0,2,70,72,69,5,216
453,0,2,79,68,65,4,216
293,0,1,67,78,64,5,214
66,0,2,76,69,66,3,214
193,0,2,70,69,70,5,214
256,0,2,69,74,66,5,214
431,0,2,60,76,71,7,214
515,0,2,68,70,71,5,214
323,0,2,66,74,68,5,213
522,0,2,74,62,73,4,213
163,0,1,67,74,64,7,212
505,0,1,62,84,58,8,212
57,0,2,69,60,74,8,211
178,0,2,67,72,68,4,211
105,0,2,71,61,69,9,210
314,0,2,68,75,64,3,210
434,0,3,73,61,73,3,210
176,0,1,70,69,70,0,209
248,0,1,66,66,70,7,209
376,0,1,71,62,70,6,209
623,0,1,67,68,70,4,209
204,0,2,72,69,64,4,209
262,0,2,70,74,62,3,209
454,0,2,71,72,61,5,209
101,0,3,64,66,75,4,209
578,0,1,61,67,75,5,208
44,0,2,63,69,73,3,208
161,0,2,75,70,59,4,208
610,0,2,67,73,64,4,208
147,0,3,66,72,62,8,208
488,0,3,67,72,66,3,208
575,0,1,68,72,64,3,207
63,0,2,70,70,64,3,207
511,0,2,68,62,74,3,207
51,0,3,71,70,63,3,207
478,0,3,64,74,67,2,207
591,0,1,64,67,70,5,206
155,0,2,71,64,66,5,206
558,0,2,63,76,60,7,206
203,0,2,67,66,66,6,205
37,0,3,61,71,70,3,205
58,0,1,69,66,63,6,204
2,0,2,69,65,63,7,204
17,0,3,68,59,71,6,204
30,0,3,77,51,71,5,204
151,0,3,64,72,62,6,204
100,0,2,69,61,69,4,203
223,0,2,61,68,68,6,203
365,0,2,75,67,59,2,203
402,0,1,71,58,66,6,201
