id;consent;priority;physics_ict;russian;math;individual;total
58;1;1;94;97;100;6;297
260;1;2;98;95;93;8;294
258;1;2;95;91;100;7;293
599;1;1;100;92;97;2;291
132;1;1;96;85;100;8;289
274;1;1;100;87;91;10;288
600;1;1;79;98;100;10;287
6;1;2;100;100;79;8;287
265;1;2;85;100;100;1;286
699;1;1;97;85;98;6;286
122;1;1;91;93;95;7;286
128;1;1;94;91;91;9;285
654;1;1;97;100;87;0;284
615;1;1;97;80;98;7;282
714;1;1;87;88;100;5;280
614;1;1;100;79;95;5;279
629;1;1;94;89;92;3;278
51;1;1;100;100;74;3;277
639;1;1;100;88;87;1;276
115;1;1;91;80;100;5;276
630;1;1;75;100;95;5;275
702;1;1;92;95;85;2;274
692;1;1;100;89;84;0;273
237;1;2;100;65;100;7;272
253;1;2;98;88;82;4;272
244;1;2;71;93;96;10;270
290;1;1;90;75;96;9;270
252;1;2;100;74;86;8;268
638;1;1;95;100;62;10;267
71;1;1;76;98;90;3;267
141;1;1;94;79;84;10;267
240;1;2;99;78;80;8;265
668;1;1;97;98;65;5;265
114;1;1;74;90;95;6;265
403;1;2;93;88;75;8;264
370;1;2;96;59;96;9;260
595;1;1;83;89;79;9;260
636;1;1;91;60;99;9;259
643;1;1;80;100;75;4;259
139;1;1;93;85;76;5;259
188;1;2;93;100;59;6;258
275;1;1;55;96;99;5;255
408;1;2;91;77;83;4;255
339;1;2;72;97;78;7;254
134;1;1;91;81;77;2;251
270;1;2;99;76;69;6;250
387;1;2;86;89;75;0;250
584;1;1;83;98;68;1;250
53;1;1;100;100;40;10;250
710;1;1;85;58;97;4;244
104;1;1;88;69;84;3;244
106;1;1;71;85;83;5;244
127;1;1;76;87;79;2;244
199;1;2;97;80;63;3;243
224;1;2;87;67;88;1;243
238;1;2;89;54;90;10;243
577;0;1;52;89;94;8;243
593;1;1;76;94;64;9;243
674;1;1;97;95;50;1;243
112;0;1;52;96;94;1;243
352;1;2;77;65;97;3;242
363;0;2;93;92;47;10;242
605;1;1;80;65;94;3;242
616;1;1;72;80;90;0;242
651;0;1;76;77;80;9;242
667;0;1;51;87;100;4;242
