ID;Согласие;Приоритет;Физика_ИКТ;Русский;Математика;ИД;Сумма
485;1;1;95;99;95;10;299
385;1;1;95;99;93;4;291
137;1;2;99;100;90;0;289
449;1;1;89;96;99;4;288
94;1;1;91;97;95;5;288
28;1;1;92;100;95;0;287
30;1;1;95;96;86;8;285
294;1;1;99;95;84;6;284
119;1;2;93;93;93;5;284
460;1;1;100;100;73;8;281
23;1;1;97;84;90;10;281
144;1;2;91;85;100;5;281
320;1;1;99;76;100;5;280
231;1;1;100;72;98;9;279
321;1;1;97;90;84;6;277
366;1;1;88;95;86;7;276
46;1;1;76;96;95;9;276
292;1;1;100;94;74;7;275
90;1;1;100;88;81;4;273
87;1;1;97;80;94;1;272
260;1;1;75;91;95;10;271
239;1;1;72;98;97;3;270
178;1;2;72;100;91;7;270
569;1;1;96;79;94;0;269
451;1;1;85;88;87;8;268
478;1;1;80;97;81;9;267
484;1;1;92;100;73;2;267
559;1;1;83;85;90;6;264
93;1;1;97;95;66;6;264
121;1;2;87;89;76;9;261
218;1;1;77;84;89;10;260
230;1;1;84;87;85;4;260
565;1;1;100;79;74;7;260
247;1;1;66;100;86;7;259
536;1;1;83;76;90;10;259
552;1;1;81;85;86;7;259
463;1;1;56;98;98;6;258
483;1;1;71;92;92;3;258
6;1;1;80;85;82;9;256
191;1;1;98;84;66;1;249
264;1;1;100;45;98;6;249
387;1;1;73;79;91;6;249
528;0;1;86;59;98;6;249
189;0;1;46;98;95;9;248
190;0;1;84;66;90;8;248
246;1;1;70;93;81;4;248
397;1;1;71;95;80;2;248
422;0;1;88;88;63;9;248
513;1;1;59;94;94;1;248
535;0;1;75;89;81;3;248
113;1;2;64;79;96;9;248
134;1;2;97;93;52;6;248
184;1;1;98;66;83;0;247
198;0;1;83;77;84;3;247
212;1;1;96;88;61;2;247
242;1;1;94;95;56;2;247
352;0;1;88;87;65;7;247
374;1;1;76;86;85;0;247
509;0;1;99;83;55;10;247
525;1;1;87;68;82;10;247
554;1;1;96;96;50;5;247
558;1;1;58;87;94;8;247
89;0;1;61;86;90;10;247
122;1;2;67;87;89;4;247
141;0;2;86;76;78;7;247
145;0;2;99;96;52;0;247
240;1;1;83;98;55;10;246
268;1;1;97;53;95;1;246
305;1;1;71;90;77;8;246
490;0;1;91;94;57;4;246
177;1;2;93;92;53;8;246
179;0;2;85;74;84;3;246
291;0;1;66;87;86;6;245
15;0;1;72;88;79;6;245
223;0;1;100;84;51;9;244
486;0;1;91;66;78;9;244
436;0;1;71;64;99;9;243
458;0;1;80;95;58;10;243
33;0;1;98;52;83;10;243
98;0;1;51;94;97;1;243
308;0;1;74;96;72;0;242
263;0;1;76;94;62;9;241
365;0;1;88;51;99;3;241
224;0;1;88;67;80;5;240
445;0;1;89;79;66;6;240
467;0;1;92;70;68;10;240
546;0;1;67;96;76;1;240
39;0;1;95;59;77;9;240
205;0;1;55;87;91;6;239
216;0;1;63;79;88;9;239
244;0;1;96;73;65;5;239
