ID;Согласие;Приоритет;Физика_ИКТ;Русский;Математика;ИД;Сумма
696;1;2;96;95;100;8;299
1349;1;3;100;93;98;1;292
2133;1;2;88;100;98;6;292
973;1;4;94;94;93;10;291
987;1;4;83;98;100;10;291
2118;1;2;97;91;94;9;291
285;1;3;94;97;97;3;291
166;1;1;84;100;99;7;290
1384;1;3;91;89;99;9;288
184;1;4;93;97;93;5;288
1398;1;3;100;100;79;5;284
1478;1;3;99;79;99;7;284
955;1;4;86;97;93;6;282
211;1;4;98;95;79;9;281
535;1;2;100;71;100;10;281
2166;1;2;92;78;99;10;279
268;1;3;94;100;76;9;279
842;1;4;96;82;94;6;278
911;1;4;90;92;93;2;277
2220;0;2;100;95;71;5;271
183;0;4;100;65;100;6;271
1411;0;3;97;98;69;6;270
971;0;4;92;94;81;2;269
2403;0;1;76;94;95;4;269
953;0;4;97;88;74;9;268
2069;0;2;97;93;68;10;268
2170;0;2;98;72;91;7;268
810;0;4;87;78;94;8;267
1354;0;3;71;97;97;2;267
2192;0;2;75;97;94;1;267
7;0;3;97;81;84;4;266
809;0;4;98;100;60;6;264
887;0;4;96;83;77;8;264
906;0;4;99;93;72;0;264
2401;0;1;79;90;86;9;264
2117;0;2;98;65;96;4;263
2383;0;1;98;72;89;4;263
543;0;2;87;96;77;3;263
890;0;4;84;93;78;7;262
1796;0;2;95;95;62;10;262
1830;0;2;93;95;74;0;262
2093;0;2;91;81;86;4;262
2190;0;2;100;89;63;10;262
733;0;2;87;95;78;2;262
854;0;4;65;91;97;8;261
1410;0;3;75;78;98;10;261
272;0;3;95;81;85;0;261
841;0;4;84;97;77;2;260
1401;0;3;78;76;99;7;260
1449;0;3;87;91;79;3;260
1464;0;3;99;63;96;2;260
1494;0;3;84;71;96;9;260
1802;0;2;69;86;100;5;260
731;0;2;78;83;99;0;260
713;0;2;85;71;98;5;259
956;0;4;98;91;59;10;258
1374;0;3;96;86;71;5;258
173;0;1;100;75;74;9;258
694;0;2;78;81;99;0;258
2048;0;2;96;68;91;2;257
2055;0;2;91;95;69;2;257
2145;0;2;97;61;90;9;257
2025;0;2;93;84;73;6;256
2067;0;2;64;98;90;4;256
2178;0;2;78;80;94;4;256
844;0;4;99;86;63;7;255
1357;0;3;95;87;63;10;255
2136;0;2;77;97;73;8;255
41;0;2;100;77;69;9;255
536;0;2;79;76;100;0;255
1378;0;3;100;88;63;3;254
1843;0;2;79;100;73;2;254
2398;0;1;97;87;70;0;254
266;0;3;73;75;98;8;254
737;0;2;87;67;96;4;254
160;0;1;91;66;94;3;254
795;0;4;80;86;80;7;253
797;0;4;94;56;96;7;253
863;0;4;70;82;96;5;253
948;0;4;78;72;100;3;253
1301;0;3;85;72;89;7;253
1447;0;3;94;60;89;10;253
2087;0;2;94;97;60;1;252
2219;0;2;61;85;96;10;252
1420;0;3;75;87;84;5;251
2056;0;2;76;84;91;0;251
2198;0;2;93;71;87;0;251
2246;0;2;63;87;97;4;251
835;0;4;66;88;87;9;250
922;0;4;65;76;99;10;250
1366;0;3;72;83;86;9;250
2213;0;2;79;87;80;4;250
172;0;1;85;73;82;10;250
539;0;2;94;84;68;4;250
569;0;2;68;88;87;7;250
710;0;2;79;91;78;2;250
1365;0;3;88;58;97;6;249
1771;0;2;61;85;96;7;249
2164;0;2;80;77;88;4;249
2384;0;1;98;73;73;5;249
886;1;4;75;91;73;9;248
1345;1;3;89;92;67;0;248
1360;0;3;83;95;68;2;248
1372;0;3;67;100;72;9;248
2070;1;2;85;89;73;1;248
2152;1;2;81;73;87;7;248
2201;1;2;77;90;80;1;248
210;0;4;77;89;73;9;248
226;0;4;87;69;82;10;248
255;0;3;79;76;85;8;248
260;0;3;99;92;55;2;248
274;1;3;82;91;66;9;248
711;1;2;83;66;92;7;248
794;0;4;89;67;91;0;247
813;1;4;64;91;92;0;247
907;0;4;83;67;89;8;247
970;1;4;78;83;81;5;247
974;0;4;99;65;78;5;247
1347;0;3;95;60;82;10;247
1443;1;3;79;83;85;0;247
1754;1;2;86;77;81;3;247
1797;1;2;86;71;85;5;247
2158;0;2;90;51;98;8;247
2194;0;2;100;96;41;10;247
2205;0;2;73;94;74;6;247
204;1;4;84;81;74;8;247
262;1;3;61;86;90;10;247
570;1;2;75;90;75;7;247
676;0;2;71;100;76;0;247
161;0;1;70;100;75;2;247
2083;1;2;81;84;79;2;246
2172;0;2;75;72;95;4;246
2217;1;2;72;83;82;9;246
2399;1;1;82;86;76;2;246
200;1;4;72;83;90;1;246
281;1;3;80;79;84;3;246
299;0;3;93;94;57;2;246
565;0;2;69;89;78;10;246
735;1;2;71;83;86;6;246
791;0;4;93;94;55;3;245
827;0;4;48;94;93;10;245
1389;0;3;91;88;66;0;245
1448;0;3;95;64;80;6;245
1770;0;2;90;94;58;3;245
2381;0;1;62;93;86;4;245
46;0;2;89;98;49;9;245
897;0;4;85;55;97;7;244
960;0;4;88;74;75;7;244
1396;0;3;67;100;71;6;244
1427;0;3;97;48;89;10;244
2105;0;2;94;59;89;2;244
2149;0;2;74;69;98;3;244
8;0;3;68;79;92;5;244
815;0;4;59;83;93;8;243
881;0;4;77;81;82;3;243
2111;0;2;86;89;64;4;243
275;0;3;63;90;84;6;243
553;0;2;69;76;95;3;243
558;0;2;57;93;89;4;243
938;0;4;80;82;71;9;242
981;0;4;74;98;62;8;242
988;0;4;55;97;85;5;242
2017;0;2;86;94;62;0;242
2032;0;2;66;71;96;9;242
162;0;1;90;68;74;10;242
1355;0;3;68;97;71;5;241
2210;0;2;82;90;68;1;241
2;0;4;100;79;61;1;241
188;0;4;76;60;98;7;241
284;0;3;91;78;65;7;241
884;0;4;72;97;70;1;240
937;0;4;79;81;77;3;240
1352;0;3;80;81;75;4;240
1468;0;3;91;76;68;4;239
2148;0;2;74;76;83;6;239
2225;0;2;95;97;41;6;239
2395;0;1;82;88;62;7;239
186;0;4;82;65;90;2;239
203;0;4;68;95;69;7;239
256;0;3;86;79;69;5;239
81;0;2;67;93;75;4;239
910;0;4;96;56;76;10;238
912;0;4;67;83;88;0;238
957;0;4;74;74;82;8;238
964;0;4;78;84;69;7;238
1806;0;2;62;92;75;9;238
212;0;4;79;77;74;8;238
253;0;3;49;100;83;6;238
291;0;3;64;84;85;5;238
793;0;4;51;99;79;8;237
818;0;4;88;73;74;2;237
845;0;4;84;55;95;3;237
909;0;4;52;88;92;5;237
2050;0;2;88;55;85;9;237
2173;0;2;86;98;51;2;237
286;0;3;61;74;94;8;237
