id;consent;priority;physics_ict;russian;math;individual;total
485;1;1;99;100;100;10;309
951;1;1;100;100;100;7;307
30;1;1;100;100;98;8;306
1674;1;1;95;100;100;10;305
23;1;1;100;95;100;10;305
1799;1;1;100;100;100;4;304
449;1;1;100;100;100;4;304
1464;1;1;100;100;100;3;303
294;1;1;100;100;97;6;303
94;1;1;100;100;98;5;303
1154;1;1;98;97;100;7;302
1190;1;1;100;100;95;7;302
144;1;2;100;97;100;5;302
385;1;1;100;100;98;4;302
1045;1;1;100;99;95;7;301
1156;1;1;96;99;100;6;301
1454;1;1;95;100;100;4;299
1587;1;1;98;100;92;7;297
137;1;2;100;100;96;0;296
1224;1;1;100;100;95;0;295
1486;1;1;96;100;88;10;294
28;1;1;96;100;97;0;293
960;1;1;85;100;100;6;291
46;1;1;82;100;100;9;291
366;1;1;89;100;95;7;291
90;1;1;100;98;89;4;291
1213;1;1;94;100;95;1;290
1255;1;1;88;98;96;8;290
119;1;2;98;94;93;5;290
320;1;1;100;85;100;5;290
321;1;1;96;97;88;6;287
231;1;1;99;80;98;9;286
569;1;1;100;87;99;0;286
87;1;1;100;90;95;1;286
1025;1;1;100;96;82;7;285
460;1;1;100;100;77;8;285
988;1;1;100;83;100;1;284
850;1;1;80;100;100;3;283
292;1;1;100;95;79;7;281
1196;1;1;100;75;94;9;278
1597;1;1;95;72;97;8;272
1810;1;1;86;89;96;1;272
1846;1;1;95;86;86;5;272
1097;1;1;71;99;96;5;271
1164;1;1;98;90;83;0;271
1466;1;1;87;88;89;7;271
178;1;2;77;98;89;7;271
1013;1;1;99;99;67;5;270
1053;1;1;88;91;83;8;270
1615;1;1;99;92;68;10;269
559;1;1;83;90;90;6;269
958;1;1;90;98;70;10;268
1159;1;1;95;70;96;7;268
1333;1;1;80;87;96;5;268
1518;1;1;98;70;98;2;268
801;1;1;94;77;87;9;267
1017;1;1;82;75;100;10;267
1571;1;1;91;71;100;5;267
1636;1;1;90;87;80;10;267
451;1;1;85;86;88;8;267
478;1;1;75;98;85;9;267
930;1;1;80;89;88;9;266
239;1;1;67;100;96;3;266
260;1;1;70;90;96;10;266
484;1;1;92;98;74;2;266
1125;1;1;99;56;100;10;265
1622;1;1;98;86;75;6;265
1652;1;1;96;71;96;2;265
968;1;1;94;80;86;4;264
1109;0;1;92;64;99;9;264
793;0;1;76;93;83;10;262
914;0;1;94;98;70;0;262
851;0;1;91;88;79;3;261
998;0;1;84;88;82;7;261
1223;0;1;60;95;100;6;261
1243;0;1;93;79;81;8;261
1274;0;1;78;97;86;0;261
6;0;1;82;87;83;9;261
121;0;2;86;92;74;9;261
871;0;1;87;66;99;8;260
1285;0;1;89;95;67;9;260
93;0;1;92;96;66;6;260
1630;0;1;92;63;100;4;259
242;0;1;99;97;61;2;259
842;0;1;75;96;82;5;258
950;0;1;87;75;90;6;258
1102;0;1;69;85;96;8;258
797;0;1;81;79;96;1;257
854;0;1;86;68;93;10;257
1047;0;1;86;70;92;9;257
1173;0;1;71;87;89;10;257
1567;0;1;89;78;81;9;257
15;0;1;77;90;84;6;257
881;0;1;90;66;100;0;256
1098;0;1;69;88;91;8;256
1515;0;1;92;76;87;1;256
1683;0;1;73;97;79;7;256
792;0;1;100;58;96;1;255
1049;0;1;85;90;77;3;255
483;0;1;67;93;92;3;255
509;0;1;100;88;57;10;255
552;0;1;76;83;89;7;255
1119;0;1;97;62;88;7;254
1153;0;1;81;98;74;1;254
1266;0;1;74;100;78;2;254
1273;0;1;63;91;91;9;254
191;0;1;96;86;71;1;254
816;0;1;65;89;91;8;253
1304;0;1;71;89;86;7;253
535;0;1;72;92;86;3;253
565;0;1;95;81;70;7;253
919;0;1;85;80;80;7;252
1106;0;1;76;83;84;9;252
1194;0;1;80;89;74;9;252
536;0;1;80;73;89;10;252
810;0;1;86;76;89;0;251
899;0;1;88;73;89;1;251
912;0;1;87;73;85;6;251
949;0;1;99;68;76;8;251
1132;0;1;97;48;98;8;251
189;0;1;47;97;98;9;251
230;0;1;81;84;82;4;251
1114;0;1;97;71;72;10;250
1254;0;1;84;58;99;9;250
1784;0;1;97;52;100;1;250
247;0;1;63;99;81;7;250
387;0;1;74;83;87;6;250
422;0;1;89;87;65;9;250
805;0;1;82;98;59;10;249
843;0;1;69;86;94;0;249
1009;0;1;92;96;59;2;249
1214;0;1;90;99;56;4;249
463;0;1;54;95;94;6;249
1087;0;1;71;100;70;7;248
1210;0;1;69;71;99;9;248
1296;0;1;60;89;99;0;248
1467;0;1;99;96;47;6;248
246;0;1;67;98;79;4;248
374;0;1;80;85;83;0;248
513;0;1;60;90;97;1;248
1027;0;1;80;93;74;0;247
1756;0;1;71;97;74;5;247
397;0;1;70;93;82;2;247
528;0;1;87;60;94;6;247
898;0;1;76;79;82;9;246
1144;0;1;74;74;90;8;246
1293;0;1;85;79;74;8;246
197;0;1;70;91;83;2;246
264;0;1;98;44;98;6;246
141;0;2;81;78;80;7;246
365;0;1;93;53;97;3;246
445;0;1;92;83;65;6;246
458;0;1;84;98;54;10;246
467;0;1;92;74;70;10;246
486;0;1;88;66;83;9;246
937;0;1;80;86;72;7;245
952;0;1;51;98;89;7;245
1339;0;1;88;57;100;0;245
1523;0;1;97;71;67;10;245
1697;0;1;68;72;100;5;245
291;0;1;68;88;83;6;245
98;0;1;46;98;100;1;245
352;0;1;86;84;68;7;245
554;0;1;92;98;50;5;245
558;0;1;55;84;98;8;245
835;0;1;68;92;77;7;244
916;0;1;83;80;77;4;244
1122;0;1;95;51;88;10;244
1180;0;1;85;54;95;10;244
1497;0;1;59;90;95;0;244
1770;0;1;65;77;98;4;244
296;0;1;83;99;52;10;244
113;0;2;64;74;97;9;244
818;0;1;81;80;80;2;243
827;0;1;75;87;74;7;243
1006;0;1;96;40;97;10;243
1016;0;1;92;86;55;10;243
1222;0;1;66;96;79;2;243
1460;0;1;83;53;97;10;243
1601;0;1;78;80;77;8;243
2254;0;1;81;89;65;8;243
205;0;1;58;83;96;6;243
223;0;1;99;86;49;9;243
244;0;1;100;78;60;5;243
436;0;1;74;60;100;9;243
848;0;1;85;79;71;7;242
864;0;1;73;85;78;6;242
1023;0;1;89;60;86;7;242
1103;0;1;82;64;90;6;242
2260;0;1;49;95;95;3;242
2262;0;1;86;56;96;4;242
268;0;1;99;49;93;1;242
546;0;1;68;96;77;1;242
876;0;1;93;61;84;3;241
1008;0;1;84;53;96;8;241
1039;0;1;95;57;80;9;241
1329;0;1;97;69;68;7;241
1687;0;1;96;55;88;2;241
2258;0;1;55;84;96;6;241
198;0;1;79;78;81;3;241
122;0;2;62;85;90;4;241
490;0;1;86;93;58;4;241
525;0;1;82;67;82;10;241
976;0;1;92;48;95;5;240
996;0;1;72;72;87;9;240
212;0;1;92;87;59;2;240
263;0;1;76;97;58;9;240
367;0;1;70;69;91;10;240
89;0;1;57;84;89;10;240
823;0;1;46;91;98;4;239
829;0;1;94;65;73;7;239
895;0;1;56;84;89;10;239
934;0;1;97;81;56;5;239
997;0;1;66;93;71;9;239
1168;0;1;87;55;93;4;239
1682;0;1;88;62;82;7;239
210;0;1;83;57;98;1;239
32;0;1;96;74;63;6;239
177;0;2;91;91;49;8;239
505;0;1;83;83;68;5;239
885;0;1;73;89;75;1;238
995;0;1;100;80;58;0;238
1062;0;1;84;91;61;2;238
1163;0;1;100;70;59;9;238
1527;0;1;94;57;83;4;238
195;0;1;100;65;71;2;238
216;0;1;62;74;93;9;238
308;0;1;70;97;71;0;238
145;0;2;97;92;49;0;238
179;0;2;85;70;80;3;238
421;0;1;56;100;80;2;238
1018;0;1;70;63;97;7;237
1081;0;1;87;83;66;1;237
1111;0;1;61;84;86;6;237
1141;0;1;94;92;45;6;237
1204;0;1;56;88;92;1;237
1822;0;1;68;71;90;8;237
5;0;1;88;72;72;5;237
401;0;1;100;67;63;7;237
500;0;1;50;80;100;7;237
542;0;1;94;76;57;10;237
860;0;1;78;76;78;4;236
956;0;1;60;86;80;10;236
1005;0;1;93;85;58;0;236
1082;0;1;72;99;62;3;236
1091;0;1;51;99;78;8;236
1123;0;1;100;41;90;5;236
1136;0;1;66;89;76;5;236
1147;0;1;88;55;88;5;236
1198;0;1;82;57;91;6;236
1348;0;1;65;71;100;0;236
2251;0;1;99;64;67;6;236
2255;0;1;91;45;98;2;236
217;0;1;48;93;91;4;236
297;0;1;93;65;75;3;236
375;0;1;83;50;94;9;236
548;0;1;41;100;89;6;236
811;0;1;94;82;50;9;235
1001;0;1;92;64;69;10;235
1043;0;1;99;71;60;5;235
1193;0;1;97;50;84;4;235
1586;0;1;85;72;73;5;235
1814;0;1;79;68;82;6;235
184;0;1;94;61;80;0;235
224;0;1;90;62;78;5;235
10;0;1;75;78;82;0;235
1010;0;1;61;65;100;8;234
1140;0;1;84;53;96;1;234
1186;0;1;94;98;42;0;234
1225;0;1;80;96;55;3;234
1331;0;1;87;97;41;9;234
1477;0;1;61;100;63;10;234
1663;0;1;64;87;81;2;234
1676;0;1;54;77;97;6;234
1797;0;1;87;67;78;2;234
1804;0;1;41;87;97;9;234
2277;0;1;63;76;88;7;234
456;0;1;40;92;94;8;234
95;0;1;100;81;51;2;234
905;0;1;69;71;89;4;233
939;0;1;61;81;82;9;233
1250;0;1;73;90;62;8;233
1830;0;1;84;62;85;2;233
7;0;1;40;100;83;10;233
791;0;1;51;91;81;9;232
1012;0;1;74;74;74;10;232
1181;0;1;73;63;90;6;232
1516;0;1;75;82;74;1;232
1628;0;1;77;67;79;9;232
1685;0;1;97;82;47;6;232
35;0;1;92;66;64;10;232
330;0;1;92;42;98;0;232
526;0;1;74;94;58;6;232
844;0;1;60;90;81;0;231
1257;0;1;66;95;67;3;231
1503;0;1;100;43;78;10;231
188;0;1;75;76;73;7;231
257;0;1;95;40;93;3;231
120;0;2;84;64;74;9;231
543;0;1;57;94;76;4;231
907;0;1;40;90;90;10;230
1476;0;1;81;60;80;9;230
1585;0;1;83;48;91;8;230
1600;0;1;59;99;67;5;230
1648;0;1;95;94;41;0;230
2280;0;1;82;99;47;2;230
146;0;2;94;64;66;6;230
477;0;1;74;66;84;6;230
922;0;1;56;70;96;7;229
926;0;1;92;58;69;10;229
1232;0;1;82;96;43;8;229
1236;0;1;77;49;95;8;229
1279;0;1;94;78;52;5;229
1526;0;1;54;99;69;7;229
1602;0;1;80;81;63;5;229
1626;0;1;91;46;87;5;229
237;0;1;84;63;74;8;229
17;0;1;74;53;96;6;229
39;0;1;91;54;75;9;229
392;0;1;83;57;87;2;229
423;0;1;75;71;75;8;229
533;0;1;99;81;41;8;229
1325;0;1;84;74;61;9;228
1478;0;1;85;61;75;7;228
38;0;1;85;77;61;5;228
131;0;2;87;49;82;10;228
393;0;1;88;43;90;7;228
867;0;1;88;44;91;4;227
913;0;1;50;90;83;4;227
1326;0;1;43;94;89;1;227
1471;0;1;43;99;82;3;227
1599;0;1;98;75;51;3;227
1811;0;1;57;72;93;5;227
265;0;1;100;71;47;9;227
266;0;1;79;84;55;9;227
938;0;1;93;53;76;4;226
953;0;1;95;43;81;7;226
955;0;1;50;96;72;8;226
1151;0;1;89;49;84;4;226
1499;0;1;62;98;61;5;226
1566;0;1;49;89;78;10;226
1691;0;1;85;69;64;8;226
2273;0;1;85;75;58;8;226
233;0;1;91;77;53;5;226
234;0;1;47;78;92;9;226
34;0;1;80;75;62;9;226
836;0;1;57;73;85;10;225
954;0;1;60;86;78;1;225
982;0;1;66;81;74;4;225
1003;0;1;64;67;94;0;225
1028;0;1;89;41;85;10;225
1115;0;1;63;62;95;5;225
1127;0;1;67;91;67;0;225
1294;0;1;86;84;45;10;225
1481;0;1;56;74;92;3;225
1532;0;1;77;55;92;1;225
1539;0;1;99;77;47;2;225
1608;0;1;93;54;73;5;225
414;0;1;75;84;63;3;225
433;0;1;100;61;58;6;225
795;0;1;85;80;54;5;224
1112;0;1;81;92;46;5;224
1131;0;1;86;47;89;2;224
1349;0;1;59;88;69;8;224
1495;0;1;83;60;74;7;224
213;0;1;85;71;58;10;224
245;0;1;57;73;86;8;224
118;0;2;85;73;58;8;224
874;0;1;71;66;80;6;223
925;0;1;68;69;86;0;223
981;0;1;85;55;81;2;223
1051;0;1;88;64;71;0;223
1110;0;1;97;53;70;3;223
1118;0;1;83;90;49;1;223
1185;0;1;99;75;45;4;223
1215;0;1;66;94;61;2;223
1324;0;1;70;50;98;5;223
1807;0;1;78;86;59;0;223
1823;0;1;50;78;92;3;223
123;0;2;62;99;54;8;223
169;0;2;62;72;81;8;223
403;0;1;90;88;41;4;223
495;0;1;75;98;48;2;223
510;0;1;85;89;47;2;223
1035;0;1;100;75;46;1;222
1069;0;1;92;69;57;4;222
1070;0;1;62;68;88;4;222
1138;0;1;40;92;90;0;222
1632;0;1;97;60;57;8;222
1782;0;1;88;64;60;10;222
214;0;1;42;87;85;8;222
222;0;1;44;97;76;5;222
254;0;1;79;76;59;8;222
301;0;1;41;94;79;8;222
139;0;2;43;91;78;10;222
408;0;1;46;75;100;1;222
457;0;1;89;41;88;4;222
474;0;1;49;84;86;3;222
476;0;1;64;66;84;8;222
875;0;1;75;46;91;9;221
892;0;1;81;88;47;5;221
1040;0;1;82;52;80;7;221
1042;0;1;76;78;62;5;221
1160;0;1;50;87;84;0;221
1182;0;1;88;54;78;1;221
1199;0;1;65;68;82;6;221
1242;0;1;87;69;65;0;221
1452;0;1;73;65;77;6;221
1802;0;1;76;49;86;10;221
462;0;1;88;75;48;10;221
473;0;1;63;95;55;8;221
1031;0;1;44;91;76;9;220
1054;0;1;49;92;73;6;220
1092;0;1;72;57;87;4;220
1347;0;1;75;52;92;1;220
1557;0;1;59;100;61;0;220
228;0;1;81;73;58;8;220
130;0;2;87;75;49;9;220
174;0;2;85;56;79;0;220
524;0;1;57;85;74;4;220
92;0;1;91;50;78;1;220
807;0;1;83;56;70;10;219
1072;0;1;96;52;64;7;219
1342;0;1;70;98;45;6;219
1463;0;1;89;54;76;0;219
192;0;1;87;82;48;2;219
203;0;1;53;62;100;4;219
48;0;1;97;59;61;2;219
381;0;1;89;47;82;1;219
503;0;1;100;51;59;9;219
567;0;1;88;51;73;7;219
799;0;1;48;99;71;0;218
813;0;1;90;73;45;10;218
852;0;1;50;93;72;3;218
966;0;1;96;40;82;0;218
1021;0;1;98;42;72;6;218
127;0;2;63;56;91;8;218
132;0;2;51;64;98;5;218
343;0;1;80;68;63;7;218
825;0;1;47;78;83;9;217
904;0;1;77;52;85;3;217
980;0;1;76;90;51;0;217
1278;0;1;95;66;56;0;217
1338;0;1;65;91;53;8;217
1547;0;1;95;52;70;0;217
1553;0;1;98;68;45;6;217
1564;0;1;45;96;75;1;217
1643;0;1;90;66;52;9;217
1752;0;1;50;98;61;8;217
16;0;1;42;94;76;5;217
342;0;1;70;76;67;4;217
537;0;1;92;42;81;2;217
830;0;1;87;76;50;3;216
870;0;1;56;64;90;6;216
1231;0;1;50;80;86;0;216
1582;0;1;83;63;60;10;216
1631;0;1;73;87;54;2;216
258;0;1;70;47;90;9;216
455;0;1;52;94;68;2;216
488;0;1;67;71;68;10;216
498;0;1;84;52;77;3;216
502;0;1;90;72;46;8;216
849;0;1;81;66;64;4;215
869;0;1;62;84;69;0;215
1126;0;1;74;75;61;5;215
1751;0;1;73;48;92;2;215
19;0;1;40;93;76;6;215
501;0;1;40;80;89;6;215
987;0;1;91;65;57;1;214
1161;0;1;51;79;74;10;214
1206;0;1;59;54;96;5;214
1267;0;1;78;73;61;2;214
1655;0;1;80;50;84;0;214
1827;0;1;77;65;70;2;214
208;0;1;72;51;81;10;214
253;0;1;100;70;44;0;214
140;0;2;89;40;82;3;214
