id;consent;priority;physics_ict;russian;math;individual;total
2631;1;1;99;96;96;0;291
2632;1;1;100;100;100;10;310
2633;1;1;94;96;94;0;284
2634;1;1;100;100;97;8;305
2635;1;1;100;100;100;10;310
2636;1;1;100;99;100;1;300
2637;1;1;99;94;96;0;289
2638;1;1;100;99;100;0;299
2639;1;1;99;97;92;0;288
2640;1;1;97;97;99;0;293
2641;1;1;99;97;93;0;289
2642;1;1;99;97;97;0;293
2643;1;1;100;97;99;7;303
2644;1;1;98;98;100;0;296
2645;1;1;96;100;97;0;293
2646;1;1;100;95;99;0;294
2647;1;1;100;100;95;9;304
2648;1;1;97;96;94;0;287
2649;1;1;91;96;95;0;282
2650;1;1;91;98;94;0;283
2651;1;1;100;100;95;0;295
2652;1;1;97;94;94;0;285
2653;1;1;93;92;97;0;282
2654;1;1;92;92;98;0;282
2655;1;1;98;92;97;0;287
2656;1;1;96;97;100;0;293
2657;1;1;96;95;92;0;283
2658;1;1;94;92;97;0;283
2659;1;1;92;95;97;0;284
2660;1;1;95;90;95;0;280
2661;0;2;78;77;63;10;228
2662;0;1;100;100;100;9;309
2663;0;3;63;65;72;3;203
2664;0;2;61;70;63;6;200
2665;0;4;98;97;91;0;286
2666;0;3;85;75;65;7;232
2667;0;3;93;99;100;2;294
2668;0;3;76;60;71;1;208
2669;0;1;67;74;67;0;208
2670;1;1;72;86;75;8;241
2671;0;1;65;72;88;9;234
2672;0;1;73;83;71;2;229
2673;0;3;94;100;97;0;291
2674;1;3;92;86;88;8;274
2675;1;3;79;100;89;5;273
2676;0;3;74;91;72;7;244
2677;0;2;73;75;85;0;233
2678;0;1;82;99;96;5;282
2679;0;4;67;83;75;2;227
2680;0;1;100;88;100;7;295
2681;0;3;65;83;67;0;215
2682;1;2;77;79;68;9;233
2683;1;2;74;94;81;2;251
2684;1;3;77;73;78;8;236
2685;0;1;89;73;84;9;255
2686;0;1;76;61;70;2;209
2687;1;4;82;65;86;5;238
2688;1;3;76;69;89;8;242
2689;0;3;97;100;100;6;303
2690;1;3;77;80;85;10;252
2691;1;3;90;97;79;9;275
2692;0;2;96;100;100;3;299
2693;0;1;65;71;59;7;202
2694;0;3;80;69;79;1;229
2695;0;2;70;63;80;5;218
2696;0;3;91;82;89;10;272
2697;1;2;91;92;80;10;273
2698;1;1;95;73;89;2;259
2699;0;2;68;79;82;3;232
2700;0;4;99;100;100;4;303
2701;0;2;81;95;93;10;279
2702;0;1;85;82;83;2;252
2703;0;3;84;90;100;7;281
